identificador,aberto-em,area,grupo-de-servico,servico,campus,status,solucionado-em
4766,21/06/2022,SUAP,Módulo - Central de Serviços,Erros no SUAP - módulo Central de Serviços,REITORIA,Fechado,04/08/2022
4767,21/06/2022,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Instalação/Atualização de softwares no Windows,REITORIA,Fechado,22/06/2022
4768,21/06/2022,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-Pastas na rede - Acesso e alteração,REITORIA,Fechado,23/06/2022
4769,21/06/2022,SUAP,Módulo - Almoxarifado,Alteração de cadastros - módulo Almoxarifado,REITORIA,Fechado,21/06/2022
4770,22/06/2022,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,27/06/2022
4771,22/06/2022,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,22/06/2022
4772,22/06/2022,Administrativo,Outros,Parametrização de atendimento,REITORIA,Fechado,22/06/2022
4773,22/06/2022,Tecnologia da Informação,OBR-SISTEMAS,OBR-Criação de usuário para acesso a rede para novo servidor/colaborador,CAMPUS OURO BRANCO,Fechado,22/06/2022
4774,22/06/2022,SUAP,Módulo - Almoxarifado,Alteração de cadastros - módulo Almoxarifado,REITORIA,Fechado,22/06/2022
4775,22/06/2022,Tecnologia da Informação,IBI - Equipamentos,IBI - Computador Inoperante,CAMPUS IBIRITÉ,Fechado,09/08/2022
4776,22/06/2022,Tecnologia da Informação,RE-DTI-Suporte Técnico Avançado,RE-DTI-VPN e Acesso Remoto,REITORIA,Fechado,08/07/2022
4777,22/06/2022,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,27/06/2022
4778,22/06/2022,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Computador/monitor com problemas,REITORIA,Fechado,29/06/2022
4779,22/06/2022,SEI,Usuário Externo,Usuário Externo,REITORIA,Cancelado,
4780,22/06/2022,Administrativo,Contratos,Dúvida: SUAP - Módulo Contratos,REITORIA,Fechado,23/06/2022
4781,22/06/2022,Tecnologia da Informação,RE-DTI-Suporte Técnico Avançado,RE-DTI-Office 365,REITORIA,Fechado,24/06/2022
4782,22/06/2022,Programa de Gestão,Programa de Gestão,Problemas de acesso - PG,REITORIA,Fechado,01/07/2022
4783,22/06/2022,Tecnologia da Informação,RE-DTI-Telefonia,RE-DTI-Instalação de Softphone no Computador e ativação do ramal IP,REITORIA,Fechado,11/11/2022
4784,23/06/2022,SUAP,Módulo - Administração de Pessoal,Dúvidas de uso do SUAP - módulo Administração de Pessoal,REITORIA,Aberto,
4785,23/06/2022,Tecnologia da Informação,RE-DTI Portal ifmg.edu.br,RE-DTI Manutenção do portal ifmg.edu.br,REITORIA,Cancelado,
4786,23/06/2022,Tecnologia da Informação,RE-DTI Portal ifmg.edu.br,RE-DTI Manutenção do portal ifmg.edu.br,REITORIA,Fechado,23/06/2022
4787,23/06/2022,Tecnologia da Informação,OBR-ARMAZENAMENTO DE DADOS,OBR-Solicitação de acesso,CAMPUS OURO BRANCO,Fechado,23/06/2022
4788,23/06/2022,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Computador/monitor com problemas,REITORIA,Fechado,18/11/2022
4789,23/06/2022,Administrativo,Contratos,01 Processo SEI - Novo CONTRATO,REITORIA,Fechado,23/06/2022
4790,23/06/2022,Administrativo,Recomposição,99 Outras recomposições,CAMPUS SANTA LUZIA,Fechado,29/06/2022
4791,23/06/2022,Tecnologia da Informação,IBI - Equipamentos,IBI - Periféricos com Defeito,CAMPUS IBIRITÉ,Fechado,24/06/2022
4792,24/06/2022,Administrativo,Compras,Dúvida: Legislação - Compras,REITORIA,Fechado,24/06/2022
4793,24/06/2022,Tecnologia da Informação,RE-DTI-Suporte Técnico Avançado,RE-DTI-VPN e Acesso Remoto,REITORIA,Fechado,27/06/2022
4794,24/06/2022,SUAP,Módulo - Almoxarifado,Alteração de cadastros - módulo Almoxarifado,REITORIA,Fechado,24/06/2022
4795,24/06/2022,SUAP,Módulo - Administração de Pessoal,Alteração de cadastros - módulo Administração de Pessoal,REITORIA,Fechado,12/07/2022
4796,24/06/2022,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-Pastas na rede - Acesso e alteração,REITORIA,Cancelado,
4797,24/06/2022,Administrativo,Contratos,Dúvida: Legislação - Contratos,REITORIA,Fechado,30/06/2022
4798,27/06/2022,Tecnologia da Informação,GV-SISTEMAS,GV-SEI,CAMPUS GOVERNADOR VALADARES,Fechado,27/06/2022
4799,27/06/2022,SEI,Alterar estrutura de documentos,Dúvidas sobre a alteração de documentos internos ou externos,CAMPUS OURO BRANCO,Cancelado,
4800,27/06/2022,Tecnologia da Informação,GV-SISTEMAS,GV-SEI,CAMPUS GOVERNADOR VALADARES,Fechado,27/06/2022
4801,27/06/2022,Administrativo,Contratos,Dúvida: Comprasnet Contratos,REITORIA,Fechado,30/06/2022
4802,27/06/2022,Tecnologia da Informação,IBI - Equipamentos,IBI - REDE,CAMPUS IBIRITÉ,Fechado,28/06/2022
4803,27/06/2022,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,27/06/2022
4804,27/06/2022,Tecnologia da Informação,RE-DTI-Sistemas SEI/SIP e outros,RE-DTI-Atualização do SEI ou módulos do SEI,REITORIA,Fechado,27/06/2022
4805,27/06/2022,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Sem conexão com a Internet,CAMPUS OURO BRANCO,Fechado,27/06/2022
4806,27/06/2022,SEI,Bloco de Assinatura,Bloco de Assinatura,CAMPUS GOVERNADOR VALADARES,Cancelado,
4807,27/06/2022,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – ALTERAÇÃO - senhas e grupos de e-mail,REITORIA,Fechado,27/06/2022
4808,27/06/2022,Tecnologia da Informação,RE-DTI-Sistemas SEI/SIP e outros,RE-DTI-Atualização do SEI ou módulos do SEI,REITORIA,Fechado,28/06/2022
4809,27/06/2022,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Computador não liga,CAMPUS OURO BRANCO,Fechado,27/06/2022
4810,27/06/2022,Tecnologia da Informação,OBR-ARMAZENAMENTO DE DADOS,OBR-Solicitação de acesso,CAMPUS OURO BRANCO,Fechado,28/06/2022
4811,27/06/2022,Tecnologia da Informação,RE-DTI-Sistemas SEI/SIP e outros,RE-DTI-Suporte Recepta,REITORIA,Fechado,10/08/2022
4812,27/06/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,30/06/2022
4813,27/06/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,28/06/2022
4814,27/06/2022,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Computador/monitor com problemas,REITORIA,Fechado,03/07/2023
4815,27/06/2022,Tecnologia da Informação,RE-DTI-Sistemas SEI/SIP e outros,RE-DTI-Atualização do SEI ou módulos do SEI,REITORIA,Fechado,27/06/2022
4816,27/06/2022,Tecnologia da Informação,RE-DTI-Telefonia,RE-DTI-Aparelho com defeito,REITORIA,Fechado,29/06/2022
4817,27/06/2022,SEI,Inserir novos servidores,Dúvidas sobre Servidores no sistema,CAMPUS IBIRITÉ,Cancelado,
4818,27/06/2022,Tecnologia da Informação,IBI - Sistemas,IBI - SEI,CAMPUS IBIRITÉ,Cancelado,
4819,27/06/2022,Administrativo,Orçamento,Legislação - Orçamento,REITORIA,Fechado,28/06/2022
4820,27/06/2022,Administrativo,Elétrica,99 Outros serviços elétricos,CAMPUS OURO BRANCO,Fechado,28/06/2022
4821,28/06/2022,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,28/06/2022
4822,28/06/2022,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Instalação/Atualização de softwares no Windows,REITORIA,Fechado,29/06/2022
4823,28/06/2022,Tecnologia da Informação,RE-DTI-Sistemas SEI/SIP e outros,RE-DTI-Requisição de usuário para eleições eletrônicas,REITORIA,Fechado,28/07/2022
4824,28/06/2022,Extensão,1. Programas e Projetos,Programas e Projetos - Seleção de bolsista.,REITORIA,Fechado,30/06/2022
4825,28/06/2022,SEI,Incluir ou excluir cadastrador parcial,Incluir ou excluir cadastrador parcial,CAMPUS RIBEIRAO DAS NEVES,Aberto,
4826,28/06/2022,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Configuração de software,CAMPUS OURO BRANCO,Fechado,28/06/2022
4827,28/06/2022,SUAP,Geral,Problemas com acesso,REITORIA,Fechado,13/07/2022
4828,29/06/2022,Tecnologia da Informação,GV-Email,GV-Criação de e-mail Institucional,CAMPUS GOVERNADOR VALADARES,Fechado,29/06/2022
4829,29/06/2022,Tecnologia da Informação,OBR-SISTEMAS,OBR-Reset de senha do usuário de rede,CAMPUS OURO BRANCO,Fechado,29/06/2022
4830,29/06/2022,Administrativo,Recomposição,99 Outras recomposições,CAMPUS OURO BRANCO,Fechado,07/07/2022
